Subj_9,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,0,3,100,2,-1150,2,100,2,100,2,100,2,100,2,100,2,100,2,-1150,2,100,2,100,2,100,2,100,1,-50,1,-200,1,100,2,-150,1,100,2,-1150,2,100,2,100,2,100,2,100,2,50,3,50,3,100,2,100,2,0,3,0,3,50,4,100,2,50,4,100,2,50,3,0,3,50,4,-1150,2,100,2,100,2,100,2,100,2,50,3,100,2,100,2,50,4,50,4,0,3,50,4,100,1,100,2,50,3,-200,4,100,1,100,2,50,3,50,4,-250,1,100,2,0,3,50,4,100,1,100,2,50,3,50,4,-100,1,100,2,0,3,50,4,100,1,100,2,50,3,-200,4,100,1,100,2,0,3,50,4,100,1,-1150,2,0,3,50,4,100,1,100,2,50,3,50,4,100,1,100,2,50,3,50,4,100,1,100,2,0,3,100,2,50,4,50,4,-250,1,100,2,100,2,100,2,50,3,50,4,50,4,-100,1,100,2,50,3,0,3,50,4,100,2,50,3,50,3,50,4,-150,1,-1150,2,-200,1,0,3,100,2,100,2,100,2,100,2,50,4,-200,4,50,4,50,4,0,3,-50,1,100,2,100,2,0,3,50,4,0,3,50,3,50,3,50,3,100,2,50,3,50,4,50,4,-150,1,100,2,50,3,0,3,50,4,Steingroever2011
Subj_10,50,3,0,3,50,3,50,3,50,3,0,3,100,1,100,1,50,4,100,2,100,2,100,1,100,1,-150,1,100,2,-1150,2,-50,1,-100,1,0,3,0,3,50,3,100,1,-250,1,0,3,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,3,0,3,50,3,0,3,0,3,0,3,50,3,50,3,50,3,0,3,0,3,50,3,50,3,50,3,0,3,0,3,50,3,0,3,0,3,50,3,0,3,50,3,50,3,50,3,0,3,50,3,0,3,50,3,0,3,0,3,50,3,0,3,0,3,0,3,50,3,0,3,50,3,0,3,50,3,50,3,0,3,50,3,50,3,0,3,0,3,0,3,0,3,50,3,50,3,50,3,50,3,0,3,50,3,0,3,50,3,0,3,0,3,0,3,50,3,50,3,0,3,50,3,50,3,50,3,0,3,50,3,0,3,0,3,0,3,50,3,50,3,0,3,50,3,50,3,0,3,0,3,50,3,50,3,0,3,0,3,0,3,0,3,0,3,0,3,50,3,50,3,0,3,50,3,50,3,50,3,50,3,0,3,0,3,0,3,50,3,0,3,50,3,0,3,50,3,50,3,50,3,0,3,0,3,0,3,50,3,0,3,50,3,50,3,50,3,0,3,0,3,0,3,50,3,0,3,50,3,50,3,50,3,Steingroever2011
Subj_11,100,1,100,1,100,1,-50,1,50,4,-250,1,0,3,-100,1,-200,1,100,1,-150,1,100,1,100,1,100,1,-50,1,100,1,-150,1,-100,1,100,1,100,1,-200,1,-250,1,100,1,100,1,-100,1,-200,1,-150,1,-50,1,100,1,-250,1,100,1,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,100,2,100,2,100,2,100,2,100,2,-1150,2,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,Steingroever2011
Subj_12,50,4,50,3,-1150,2,100,1,100,1,0,3,-200,4,-50,1,50,4,50,4,50,4,50,4,50,4,50,4,0,3,50,3,0,3,0,3,0,3,50,3,50,3,50,3,0,3,100,2,100,2,100,2,100,2,100,2,-200,1,100,2,100,2,100,2,100,2,100,2,100,2,50,4,50,3,50,4,0,3,100,1,-250,1,-1150,2,50,4,50,3,100,2,-150,1,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,-1150,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,-1150,2,50,4,50,3,100,2,100,1,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,50,3,0,3,-1150,2,50,4,-200,4,50,4,50,4,100,2,100,2,100,2,100,2,100,2,100,2,-1150,2,100,1,-100,1,-50,1,100,1,100,2,100,2,100,2,100,2,100,2,-1150,2,0,3,50,3,0,3,50,3,50,3,50,4,50,4,100,2,100,2,100,2,100,2,100,2,100,2,0,3,0,3,50,3,0,3,0,3,50,3,100,2,100,1,100,1,-1150,2,50,3,0,3,0,3,50,3,50,3,100,2,100,2,100,2,100,2,100,2,0,3,0,3,50,3,50,3,0,3,50,3,0,3,0,3,100,2,Steingroever2011
Subj_13,100,2,0,3,-50,1,-250,1,-200,4,100,2,-1150,2,100,2,0,3,100,2,100,1,100,2,50,4,100,2,50,3,-200,1,100,2,0,3,50,4,100,2,100,1,50,3,50,4,100,1,100,2,50,3,50,4,100,1,-1150,2,0,3,50,4,100,2,100,1,100,2,-150,1,100,2,0,3,100,2,100,2,100,2,100,2,-100,1,100,1,100,1,-150,1,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,-1150,2,100,2,100,2,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,Steingroever2011
Subj_14,50,4,0,3,50,4,100,2,-200,1,100,2,100,2,100,2,100,2,100,2,100,2,100,2,-1150,2,50,3,100,1,-100,1,0,3,100,2,100,1,100,2,-50,1,100,2,100,2,-1150,2,100,1,100,1,100,2,100,1,-250,1,100,2,100,2,50,3,50,4,50,3,0,3,0,3,100,2,100,2,100,2,100,2,-150,1,100,2,100,2,100,2,100,2,100,2,-1150,2,100,1,-200,1,100,2,100,2,100,2,100,2,100,2,-50,1,100,2,100,2,100,2,100,2,100,2,100,2,100,2,-1150,2,-150,1,50,3,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,50,3,100,2,50,4,-1150,2,50,4,-1150,2,0,3,50,3,100,2,100,2,100,2,100,2,100,2,100,2,100,1,100,2,0,3,100,2,100,2,100,2,100,2,100,2,100,2,100,2,-250,1,100,2,50,3,0,3,100,2,-1150,2,50,3,100,2,100,2,100,2,100,2,-1150,2,100,1,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,-100,1,100,2,50,3,0,3,-200,4,-1150,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,0,3,50,3,0,3,0,3,50,3,100,2,100,2,100,2,100,1,50,3,-1150,2,100,2,100,2,100,2,100,2,100,2,Steingroever2011
Subj_15,100,2,50,4,-100,1,0,3,-1150,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,-1150,2,50,4,-200,4,100,1,100,1,-200,1,100,2,100,2,50,3,50,4,100,1,100,2,100,2,100,2,50,4,100,1,50,3,-50,1,50,4,50,3,100,2,100,2,100,2,50,4,-250,1,0,3,50,4,100,2,50,4,-1150,2,100,2,50,4,100,1,0,3,-150,1,50,4,100,2,100,2,-1150,2,50,4,100,2,50,4,100,2,100,2,100,2,100,2,100,2,100,2,50,4,100,1,50,3,-150,1,50,4,50,3,0,3,50,4,50,4,50,4,100,1,0,3,-250,1,50,4,-200,4,100,1,0,3,100,2,100,2,-1150,2,50,4,-50,1,50,3,50,3,0,3,50,4,100,2,100,2,100,2,100,2,100,2,-200,1,50,4,50,3,50,4,50,3,50,3,-200,4,-100,1,0,3,100,2,100,2,100,2,100,2,100,2,50,4,100,1,50,4,100,1,0,3,100,2,50,4,50,4,0,3,-100,1,50,4,100,2,100,2,100,2,100,2,100,2,-1150,2,50,4,100,1,50,3,100,1,0,3,50,4,50,4,-200,4,50,3,100,1,50,3,100,1,50,4,-50,1,50,3,0,3,50,4,100,2,100,2,100,2,Steingroever2011
Subj_16,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,-200,4,100,2,100,2,-50,1,0,3,100,2,50,4,100,2,100,2,100,2,100,2,100,2,-1150,2,100,2,100,2,100,2,50,4,100,2,100,2,100,2,-1150,2,100,2,100,2,100,2,100,2,-100,1,0,3,50,3,50,3,0,3,50,3,50,3,50,3,0,3,100,2,0,3,50,3,50,3,50,3,0,3,0,3,50,3,0,3,0,3,50,3,-250,1,-150,1,100,1,50,4,-1150,2,100,2,100,2,100,2,100,2,100,2,0,3,50,3,0,3,50,3,0,3,50,3,0,3,50,3,50,3,0,3,0,3,50,3,0,3,100,2,50,3,0,3,0,3,50,3,0,3,0,3,50,3,50,3,50,3,50,3,50,3,50,3,0,3,0,3,0,3,50,3,0,3,0,3,0,3,0,3,50,3,50,3,50,3,0,3,50,3,50,3,0,3,0,3,50,3,0,3,0,3,0,3,50,3,50,3,50,3,0,3,50,3,0,3,50,3,0,3,0,3,0,3,50,3,50,3,0,3,50,3,0,3,50,3,50,3,0,3,0,3,50,3,50,3,0,3,0,3,50,3,0,3,50,3,50,3,0,3,0,3,0,3,0,3,0,3,50,3,50,3,50,3,50,3,0,3,0,3,0,3,50,3,0,3,Steingroever2011
Subj_17,-150,1,100,2,0,3,100,2,100,1,100,1,-200,1,0,3,50,4,50,4,100,2,100,2,0,3,50,3,0,3,100,2,100,2,100,2,100,2,100,2,-1150,2,100,1,100,1,-50,1,50,4,50,4,50,3,100,2,100,2,50,3,50,3,-200,4,50,4,50,4,-250,1,100,1,-100,1,100,2,-1150,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,-1150,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,50,3,0,3,50,3,0,3,50,3,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,100,1,100,1,-200,1,-250,1,100,1,-150,1,100,2,100,2,100,2,100,2,100,2,100,2,-1150,2,100,2,100,2,100,2,100,2,100,2,100,2,-1150,2,50,3,0,3,0,3,100,2,100,2,100,2,-50,1,100,1,50,4,50,4,50,4,-200,4,50,3,0,3,100,2,-1150,2,100,2,100,2,100,2,100,2,0,3,100,2,100,2,100,2,100,2,100,2,100,2,100,1,-100,1,-250,1,100,1,-100,1,50,3,0,3,50,3,50,4,0,3,50,4,50,3,100,2,-50,1,50,4,0,3,100,2,50,4,0,3,50,4,50,3,50,4,100,1,0,3,50,4,50,3,100,1,50,3,50,4,-150,1,50,3,Steingroever2011
Subj_18,50,3,100,2,-150,1,0,3,50,4,50,4,50,4,-200,4,-1150,2,50,3,50,3,100,1,100,1,100,2,100,2,50,4,50,4,50,3,0,3,100,2,100,2,100,1,100,1,50,4,50,4,0,3,50,3,100,2,100,2,-100,1,100,1,50,4,50,4,0,3,0,3,100,2,100,2,-250,1,100,2,50,4,100,2,50,4,0,3,100,2,50,4,100,2,50,4,100,2,50,4,100,2,50,4,-1150,2,-50,1,50,3,50,4,50,3,-200,4,100,2,100,2,-200,1,0,3,100,2,100,2,50,4,50,4,100,2,100,2,100,1,-50,1,50,4,50,4,100,2,100,2,0,3,-1150,2,50,4,50,4,-100,1,100,2,100,2,100,2,50,4,-200,4,100,2,50,4,100,2,0,3,50,4,-1150,2,100,1,100,1,50,4,100,2,100,2,50,4,50,3,50,4,100,2,100,1,100,2,0,3,50,4,50,4,100,2,100,2,100,1,-150,1,50,3,50,3,100,2,100,2,50,4,-200,4,-1150,2,50,3,0,3,-200,1,100,2,100,2,50,4,50,4,100,2,100,2,50,3,50,3,50,4,100,2,100,2,50,4,50,4,100,2,100,2,50,4,50,4,100,2,100,2,50,4,50,4,100,2,100,2,50,4,50,4,100,2,100,2,50,4,50,4,100,2,100,2,-200,4,50,3,Steingroever2011
